Fecha,Producto,Precio_Unitario,Cantidad,Venta_Total
2023-01-01 00:00:00,Producto C,42.4,13,551.1999999999999
2023-01-01 01:00:00,Producto D,49.98,16,799.68
2023-01-01 02:00:00,Producto A,86.18,13,1120.3400000000001
2023-01-01 03:00:00,Producto C,37.3,4,149.2
2023-01-01 04:00:00,Producto C,87.62,4,350.48
2023-01-01 05:00:00,Producto D,13.37,11,147.07
2023-01-01 06:00:00,Producto A,78.8,14,1103.2
2023-01-01 07:00:00,Producto A,85.52,3,256.56
2023-01-01 08:00:00,Producto C,22.27,19,423.13
2023-01-01 09:00:00,Producto B,45.88,1,45.88
2023-01-01 10:00:00,Producto C,20.72,5,103.6
2023-01-01 11:00:00,Producto C,72.13,17,1226.21
2023-01-01 12:00:00,Producto C,55.86,1,55.86
2023-01-01 13:00:00,Producto C,65.36,19,1241.84
2023-01-01 14:00:00,Producto D,23.67,19,449.73
2023-01-01 15:00:00,Producto A,25.12,4,100.48
2023-01-01 16:00:00,Producto D,8.94,19,169.85999999999999
2023-01-01 17:00:00,Producto D,35.6,6,213.60000000000002
2023-01-01 18:00:00,Producto D,58.18,15,872.7
2023-01-01 19:00:00,Producto C,86.5,4,346.0
2023-01-01 20:00:00,Producto B,68.36,1,68.36
2023-01-01 21:00:00,Producto A,46.36,17,788.12
2023-01-01 22:00:00,Producto B,95.55,11,1051.05
2023-01-01 23:00:00,Producto D,73.33,17,1246.61
2023-01-02 00:00:00,Producto D,93.37,1,93.37
2023-01-02 01:00:00,Producto B,55.12,9,496.08
2023-01-02 02:00:00,Producto B,29.6,14,414.40000000000003
2023-01-02 03:00:00,Producto B,10.02,15,150.29999999999998
2023-01-02 04:00:00,Producto D,73.98,1,73.98
2023-01-02 05:00:00,Producto D,16.52,2,33.04
2023-01-02 06:00:00,Producto A,33.76,18,607.68
2023-01-02 07:00:00,Producto A,55.58,18,1000.4399999999999
2023-01-02 08:00:00,Producto D,58.62,6,351.71999999999997
2023-01-02 09:00:00,Producto B,62.06,8,496.48
2023-01-02 10:00:00,Producto B,20.79,1,20.79
2023-01-02 11:00:00,Producto A,41.08,15,616.1999999999999
2023-01-02 12:00:00,Producto D,63.63,10,636.3000000000001
2023-01-02 13:00:00,Producto A,97.13,4,388.52
2023-01-02 14:00:00,Producto A,74.12,10,741.2
2023-01-02 15:00:00,Producto C,92.65,11,1019.1500000000001
2023-01-02 16:00:00,Producto C,77.41,5,387.04999999999995
2023-01-02 17:00:00,Producto C,61.21,9,550.89
2023-01-02 18:00:00,Producto B,23.24,5,116.19999999999999
2023-01-02 19:00:00,Producto D,68.34,11,751.74
2023-01-02 20:00:00,Producto D,64.22,3,192.66
2023-01-02 21:00:00,Producto D,62.23,4,248.92
2023-01-02 22:00:00,Producto D,51.53,10,515.3
2023-01-02 23:00:00,Producto C,55.22,7,386.53999999999996
2023-01-03 00:00:00,Producto B,36.77,1,36.77
2023-01-03 01:00:00,Producto B,54.33,6,325.98
2023-01-03 02:00:00,Producto C,23.77,8,190.16
2023-01-03 03:00:00,Producto B,81.49,17,1385.33
2023-01-03 04:00:00,Producto C,22.65,7,158.54999999999998
2023-01-03 05:00:00,Producto D,13.07,1,13.07
2023-01-03 06:00:00,Producto C,46.44,9,417.96
2023-01-03 07:00:00,Producto D,67.54,11,742.94
2023-01-03 08:00:00,Producto D,46.58,19,885.02
2023-01-03 09:00:00,Producto A,31.29,2,62.58
2023-01-03 10:00:00,Producto C,58.03,11,638.33
2023-01-03 11:00:00,Producto A,37.97,3,113.91
2023-01-03 12:00:00,Producto C,93.62,17,1591.54
2023-01-03 13:00:00,Producto C,92.65,10,926.5
2023-01-03 14:00:00,Producto A,52.73,3,158.19
2023-01-03 15:00:00,Producto A,36.15,3,108.44999999999999
2023-01-03 16:00:00,Producto C,75.03,7,525.21
2023-01-03 17:00:00,Producto B,8.49,2,16.98
2023-01-03 18:00:00,Producto D,50.1,1,50.1
2023-01-03 19:00:00,Producto A,36.95,7,258.65000000000003
2023-01-03 20:00:00,Producto D,92.45,11,1016.95
2023-01-03 21:00:00,Producto B,6.14,6,36.839999999999996
2023-01-03 22:00:00,Producto B,57.52,4,230.08
2023-01-03 23:00:00,Producto B,75.36,19,1431.84
2023-01-04 00:00:00,Producto A,51.08,19,970.52
2023-01-04 01:00:00,Producto B,13.11,14,183.54
2023-01-04 02:00:00,Producto A,97.38,3,292.14
2023-01-04 03:00:00,Producto B,54.21,4,216.84
2023-01-04 04:00:00,Producto D,63.35,8,506.8
2023-01-04 05:00:00,Producto D,27.48,18,494.64
2023-01-04 06:00:00,Producto C,50.93,4,203.72
2023-01-04 07:00:00,Producto D,45.77,11,503.47
2023-01-04 08:00:00,Producto C,12.12,16,193.92
2023-01-04 09:00:00,Producto D,15.09,3,45.269999999999996
